floor,room,x,y,type
N1,518,999.5,126.5,room
N1,519,1037.5,106.5,room
N1,520,1037.5,125.5,room
N1,521,1037.5,142.5,room
N1,522,1037.5,159.5,room
N1,523,1037.5,180.5,room
N1,524,1057.5,180.5,room
N1,600,1124.5,418.5,room
N1,601,1137.5,360.5,room
N1,210_2,1157.5,386.5,other
N1,367,1107.5,386.5,other
N1,364,1107.5,449.5,other
N1,368_2,1107.5,366.5,other
N1,406_3,1107.5,358.5,other
N1,208,1157.5,418.5,other
N1,207,1157.5,449.5,other
N1,602,1137.5,329.5,room
N1,603,1137.5,301.5,room
N1,604,1137.5,278.5,room
N1,605,1134.5,241.5,room
N1,606,1087.5,248.5,room
N1,607,1171.5,243.5,room
N1,608,1189.5,243.5,room
N1,609,1208.5,243.5,room
N1,610,1231.5,233.5,room
N1,611,1248.5,233.5,room
N1,612,1231.5,249.5,room
N1,613,1248.5,249.5,room
N1,614,1264.5,240.5,room
N1,615,1286.5,227.5,room
N1,616,1329.5,223.5,room
N1,617,1329.5,238.5,room
N1,618,1329.5,257.5,room
N1,619,1312.5,257.5,room
N1,620,1346.5,257.5,room
N1,173,1368.5,257.5,other
N1,621,1360.5,223.5,room
N1,622,1377.5,229.5,room
N1,623,1397.5,241.5,room
N1,624,1413.5,236.5,room
N1,625,1433.5,236.5,room
N1,626,1451.5,236.5,room
N1,627,1465.5,243.5,room
N1,628,1478.5,228.5,room
N1,629,1413.5,250.5,room
N1,630,1433.5,250.5,room
N1,631,1451.5,250.5,room
N1,632,1478.5,250.5,room
N1,177_2,1516.5,250.5,other
N1,633,1505.5,278.5,room
N1,634,1505.5,298.5,room
N1,635,1505.5,344.5,room
N1,181,1505.5,387.5,other
N1,636,1505.5,416.5,room
N1,637,1505.5,460.5,room
N1,638,1505.5,493.5,room
N1,639,1505.5,521.5,room
N1,640,1505.5,548.5,room
N1,187_2,1519.5,583.5,other
N1,641,1465.5,583.5,room
N1,642,1435.5,583.5,room
N1,643,1403.5,583.5,room
N1,644,1373.5,583.5,room
N1,645,1329.5,583.5,room
N1,646,1281.5,583.5,room
N1,647,1255.5,583.5,room
N1,648,1223.5,583.5,room
N1,649,1188.5,583.5,room
N1,650,1162.5,583.5,room
N1,355_2,1157.5,600.5,other
N1,651,1465.5,619.5,room
N1,652,1427.5,619.5,room
N1,653,1400.5,619.5,room
N1,654,1373.5,619.5,room
N1,655,1329.5,619.5,room
N1,656,1281.5,619.5,room
N1,657,1255.5,619.5,room
N1,658,1223.5,619.5,room
N1,659,1186.5,619.5,room
N1,660,1135.5,619.5,room
N1,661,1085.5,572.5,room
N1,700,642.5,590.5,room
N1,701,750.5,590.5,room
N1,702,846.5,590.5,room
N1,703,1009.5,590.5,room
N1,704,1040.5,565.5,room
N1,705,1045.5,726.5,room
N1,706,1009.5,639.5,room
N1,707,1009.5,676.5,room
N1,708,1009.5,726.5,room
N1,709,935.5,661.5,room
N1,710,845.5,732.5,room
N1,711,751.5,672.5,room
N1,712,651.5,737.5,room
N1,713,546.5,688.5,room
N1,233,555.5,712.5,other
N1,714,546.5,661.5,room
N1,715,557.5,631.5,room
N1,229,557.5,591.5,other
N1,228,527.5,564.5,other
N1,227,642.5,564.5,other
N1,716,405.5,741.5,room
N1,717,269.5,723.5,room
N1,718,158.5,725.5,room
N1,719,88.5,725.5,room
N1,417_2,111.5,747.5,other
N1,720,248.5,694.5,room
N1,721,234.5,694.5,room
N1,722,219.5,694.5,room
N1,723,182.5,694.5,room
N1,724,158.5,694.5,room
N1,725,145.5,694.5,room
N1,726,126.5,694.5,room
N1,727,248.5,757.5,room
N1,728,235.5,757.5,room
N1,729,219.5,757.5,room
N1,730,190.5,757.5,room
N1,731,176.5,757.5,room
N1,732,160.5,757.5,room
N1,733,146.5,757.5,room
N1,734,126.5,757.5,room
N1,662,1145.5,555.5,room
N1,663,1145.5,499.5,room
N1,525,1041.5,200.5,room
N1,526,1041.5,248.5,room
N1,527,1001.5,248.5,room
N1,528,956.5,248.5,room
N1,529,923.5,229.5,room
N1,530,905.5,229.5,room
N1,531,889.5,229.5,room
N1,532,769.5,247.5,room
N1,533,750.5,247.5,room
N1,534,732.5,247.5,room
N1,535,702.5,237.5,room
N1,536,684.5,237.5,room
N1,537,684.5,216.5,room
N1,538,702.5,216.5,room
N1,539,631.5,237.5,room
N1,540,624.5,216.5,room
N1,541,591.5,216.5,room
N1,542,599.5,236.5,room
N1,543,579.5,236.5,room
N1,544,547.5,236.5,room
N1,545,547.5,213.5,room
N1,546,523.5,213.5,room
N1,547,543.5,179.5,room
N1,548,543.5,142.5,room
N1,549,561.5,164.5,room
N1,550,556.5,76.5,room
N1,551,585.5,84.5,room
N1,552,619.5,87.5,room
N1,553,653.5,90.5,room
N1,554,578.5,56.5,room
N1,555,606.5,58.5,room
N1,556,630.5,60.5,room
N1,557,653.5,62.5,room
N1,558,491.5,61.5,room
N1,559,458.5,59.5,room
N1,560,431.5,57.5,room
N1,561,404.5,55.5,room
N1,562,377.5,53.5,room
N1,563,350.5,51.5,room
N1,564,323.5,49.5,room
N1,119_2,703.5,85.5,other
N1,267,703.5,61.5,other
N1,430_2,710.5,61.5,other
N1,266_2,686.5,104.5,other
N1,156_2,653.5,216.5,other
N1,148_2,841.5,216.5,other
N1,144_2,956.5,216.5,other
N1,140,1041.5,216.5,other
N1,400_2,835.5,242.5,other
N1,302_2,845.5,242.5,other
N2,860,482.5,52.5,room
N2,859,517.5,52.5,room
N2,849,580.5,55.5,room
N2,848,570.5,82.5,room
N2,847,559.5,102.5,room
N2,846,549.5,122.5,room
N2,843,549.5,194.5,room
N2,842,562.5,215.5,room
N2,841,578.5,227.5,room
N2,840,597.5,227.5,room
N2,839,616.5,227.5,room
N2,838,635.5,227.5,room
N2,837,660.5,227.5,room
N2,836,694.5,227.5,room
N2,800,750.5,242.5,room
N2,400_3,792.5,214.5,other
N2,302_3,841.5,228.5,other
N2,801,750.5,167.5,room
N2,802,750.5,85.5,room
N2,805,799.5,75.5,room
N2,803,807.5,103.5,room
N2,806,841.5,105.5,room
N2,809,871.5,107.5,room
N2,811,896.5,109.5,room
N2,814,928.5,111.5,room
N2,815,928.5,83.5,room
N2,816,957.5,85.5,room
N2,824,956.5,108.5,room
N2,823,956.5,148.5,room
N2,817,938.5,148.5,room
N2,822,948.5,173.5,room
N2,818,938.5,193.5,room
N2,835,896.5,228.5,room
N2,834,922.5,228.5,room
N2,819,944.5,218.5,room
N2,833,944.5,250.5,room
N2,832,966.5,250.5,room
N2,831,1000.5,248.5,room
N2,830,1038.5,248.5,room
