type,floor,d,fill_rule
rooms_blueprint,S1,M617.5 179.5V190H616V179.5H617.5Z,
rooms_blueprint,S1,M933 427V461H1027.5V427H1000.5V436H962V427H933Z,
rooms_blueprint,S1,M933 372.5V406.5H962V397.5H1000.5V406.5H1027.5V372.5H933Z,
rooms_blueprint,S1,M1129 412.5V365H1137.5V375.5H1163V393.5H1137.5V402.5H1345.5V524.5H1371.5V544.5H1366V550.5H1371.5V561H1350.5V550.5H1356V544.5H1350.5V531H1345.5V552H1337V562H1345V622.75C1345 630.344 1338.84 636.5 1331.25 636.5C1323.66 636.5 1317.5 630.344 1317.5 622.75V562H1325.5V552H1315.5V541H1304.5L1286.36 522.856C1278.09 529.218 1267.74 533 1256.5 533C1235.79 533 1218.09 520.156 1210.91 502H1168V474.5H1163V530H1158.5V525H1154.5V530H1149.5V525H1145.5V530H1140.5V525H1136.5V530H1131.5V466.5H1144V435.5H1124V426H1128.5V426.5H1163.5V435H1150.5V466H1179.5V490.5H1207.5L1207.92 490.433C1207.64 488.328 1207.5 486.181 1207.5 484C1207.5 456.938 1229.44 435 1256.5 435C1283.56 435 1305.5 456.938 1305.5 484C1305.5 495.876 1301.28 506.765 1294.25 515.246L1311.5 532.5H1316.5V517.8C1321.06 516.873 1324.5 512.838 1324.5 508C1324.5 503.162 1321.06 499.127 1316.5 498.2V493.8C1321.06 492.873 1324.5 488.838 1324.5 484C1324.5 479.162 1321.06 475.127 1316.5 474.2V439.8C1321.06 438.873 1324.5 434.838 1324.5 430C1324.5 424.477 1320.02 420 1314.5 420C1308.98 420 1304.5 424.477 1304.5 430C1304.5 430.338 1304.52 430.671 1304.55 431H1226.45C1226.48 430.671 1226.5 430.338 1226.5 430C1226.5 424.477 1222.02 420 1216.5 420C1210.98 420 1206.5 424.477 1206.5 430C1206.5 430.338 1206.52 430.671 1206.55 431H1174.5V411.5H1163.5V424.5H1129V422H1100V412.5H1129ZM1273.5 486C1273.5 495.389 1265.89 503 1256.5 503C1247.11 503 1239.5 495.389 1239.5 486C1239.5 476.611 1247.11 469 1256.5 469C1265.89 469 1273.5 476.611 1273.5 486Z,evenodd
rooms_blueprint,S1,M563 709.5V609.5H569V595.5H574V609.5H719V571.5H683.5V568.5H713V555H590.5V568.5H675V571.5H540.5V609.5H555V614.5H549V641H529V644.5H527V641H512.5V676.5H527V652.5H529V709.5H563Z,
rooms_blueprint,S1,M722.5 666.5V721.5H737.5V772.5L945 766.5V752H959V740H940.5V736.5H945V713.5H995.5V661H951.5V702H945V621H940.5V617.5H945V577H940.5V571.5H945V555H927V571.5H931V577H927V581.5H917.5V571.5H885.5V568.5H891V555H806V568.5H811V571.5H778.5V609.5H820V638.5H796.5V655H775V661H796.5V729H798.5V743.467L904 740.032V731H829V709.5H831V729H904V639H883V608H917.5V599H927.5V749H917.5V741.5H905.016L905.033 741.999L796.5 745.533V736.5H766.5V721.5H775V666.5H722.5ZM820 567.5V571.5H875V567.5H820ZM829 639V608H875V639H829Z,evenodd
rooms_blueprint,S1,M1511.5 481.856H1522.5V470.5H1537.5V458H1522.5V445H1511.5V394H1498.5V445H1488.5V481.856H1498.5V495.5H1511.5V481.856Z,
rooms_blueprint,S1,M1306.5 271.5V265H1301.5V250.5H1294.5C1288.15 250.5 1283 246.905 1283 240.553C1283 234.202 1288.15 227.5 1294.5 227.5H1301.5V234H1313.5V214.5H1318.5V222H1324V211.5H1335.5V222H1340V214.5H1345.5V222H1359.5V217H1376V238.5H1359.5V270.5H1354.5V257H1345.5V271.5H1340V267.5H1335.5V271.5H1324V267.5H1318.5V271.5H1313.5V257H1308V262H1310.5V271.5H1306.5Z,
stairs,S1,M738.5 201.5H735.5V212.5H719V193.5H710.5V223.5H693V232H710.5V235.5H719V221H735.5V230.5H742V286L664.5 363.5V397L731 330.5V347.5H765.5V330.5L834 399H814.5V434H834L765.5 502.5V481.5H731V502.5L664.5 436V471L663.943 470.943L729.5 536.5V547H716.5V553.5H742.5V571.5H726V585H719V600.25H726V621.5H734V626H721V663.5H729.5V666.5H767V663.5H774V626H759V621.5H770V600.25H779.5V585H770V571.5H754V553.5H780.5V547H767V536.5L868 435.5H898.5V456H906V425H961L971.5 435.5H989.5L1000 425H1056V432.5H1062V425H1065.5V432.5L1073 425H1077C1077 434.2 1069.33 440.833 1065.5 443V456H1063.5V460.5H1099.5V435.5H1113.5V445H1123V426.5H1099.5V408H1123V389H1113.5V397.5H1099.5V373H1062V377.5H1065.5V390.5C1076.3 396.9 1077.67 405.833 1077 409.5H1073L1065.5 402V408H1062V402H1056V408H1000L989.5 397.5H971.5L961 408H906V377.5H898.5V399.5H868L754.5 286V230.5H761V221H777V235.5H785V232H802V244.5H873V207H856V208.5H847V207H796.5V208.5H788V207H785V193.5H777V212.5H761V201.5H759V204.5H738.5V201.5ZM711.5 212.5H718.5V194.5H711.5V212.5Z,evenodd
stairs,S1,M1317 585.5V573.5H1290.5V585.5H1317Z,
stairs,S1,M944.5 598.5V582.5H977V598.5H944.5Z,
stairs,S1,M540 571.5L540 610C524 610 520.333 602.333 520.5 598.5V582.5C520.5 571.7 533.5 570.667 540 571.5Z,
stairs,S1,M1345 573.5H1371V585.5H1345V573.5Z,
ground,RC,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V705.5L314.5 711.5V661H85.5V691H42V780.5L1073.5 757.5L1069.5 594.5H1100V640.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM571 615V714L715.5 711V615H571ZM916 615H783.5V709L916 706V615ZM1178 283.5V544H1470V283.5H1178Z,evenodd
rooms_blueprint,RC,M636.503 56.917L637.127 49.4388L622.075 48.1363L621.497 55.0831L619.503 54.917L620.083 47.9639L584.348 44.8714L582.497 67.0831L580.503 66.917L582.355 44.699L568.5 43.5L565.5 68.5H551.5L548.5 106.5H530V119H553V121H530V145H542V147H530V185.5H540.5V185H552.5V187H542V206H552.5V208H542V209H530V221H552.5V223H530V246.5H560.5V231.5H562.5V246.5H585.5V231.5H587.5V246.5H632.5V221H634.5V236.5H655V238.5H634.5V246.5H698.5V228.5H683V240.5H681V226.5H698.5V208.5H684V219H682V208.5H667.5V240H665.5V208.5H643V192.5H610.5V190.5H643V106.236L639.433 105.998L639.567 104.002L669.567 106.002L669.433 107.998L645 106.369V206.5H698.5V205.5H718V192H673V123.893L718 128.495V112.5L676 109L678 96H668.5L672.5 52.5L639.119 49.6113L638.497 57.0831L636.503 56.917ZM636.417 71.9966L618.417 70.4965L618.583 68.5035L636.583 70.0035L636.417 71.9966ZM616.919 82.9967L635.419 84.4967L635.581 82.5033L617.081 81.0033L616.919 82.9967ZM616 101.538V91.5H618V101.705L621.583 102.003L621.417 103.997L562.741 99.1068L562.498 102.57L560.502 102.43L562.502 73.93L564.498 74.07L562.881 97.1116L578.09 98.379L580.003 75.417L581.997 75.583L580.083 98.5451L616 101.538ZM633 93V103.5H628V105.5H635V93H633ZM544.5 239V231H546.5V239H544.5ZM603.5 214.5V238.5H605.5V214.5H603.5ZM616.5 238.5V214.5H618.5V238.5H616.5ZM562.5 203.5H560.5V208.5H564.5V221.5H561V223.5H566.5V208.5H585.5V222H581V224H587.5V208.5H623.5V206.5H562.5V203.5ZM596 127.897L627.598 131.005L627.402 132.995L598 130.103V178.5H627.5V180.5H596V127.897ZM662 123V191.5H664V123H662ZM653.503 63.917L651.503 87.917L653.497 88.083L655.497 64.083L653.503 63.917ZM597.503 85.917L599.503 61.917L601.497 62.083L599.497 86.083L597.503 85.917ZM549 147H560.5V171H535V173H560.5V195H562.5V119H560.5V145H549V147Z,evenodd
